Date,Open,High,Low,Close,Adj Close**,Volume
2020-10-19,378.47,383.32,373.70,379.94,379.94,"12,811,242,092"
2020-10-20,379.72,380.76,367.60,369.14,369.14,"13,741,586,582"
2020-10-21,369.06,400.63,368.73,392.19,392.19,"20,241,324,322"
2020-10-22,391.49,420.14,391.28,413.77,413.77,"15,772,846,485"
2020-10-23,414.05,418.96,403.08,409.77,409.77,"14,256,222,052"
2020-10-24,409.77,416.60,407.85,412.46,412.46,"12,201,739,194"
2020-10-25,412.46,417.16,405.35,406.22,406.22,"10,890,207,469"
2020-10-26,406.22,411.28,383.78,393.89,393.89,"15,155,684,229"
2020-10-27,393.89,409.77,390.61,404.00,404.00,"13,940,434,102"
2020-10-28,404.00,408.96,381.15,388.65,388.65,"15,276,441,134"
2020-10-29,388.65,393.23,381.29,386.73,386.73,"12,920,477,749"
2020-10-30,386.73,391.46,375.09,382.82,382.82,"13,688,056,970"
2020-10-31,382.82,393.01,381.30,386.59,386.59,"11,276,963,426"
2020-11-01,386.59,397.12,385.17,396.36,396.36,"10,475,146,018"
2020-11-02,396.36,403.24,381.02,383.16,383.16,"13,997,574,252"
2020-11-03,383.16,389.52,371.31,387.60,387.60,"12,588,494,762"
2020-11-04,387.60,407.67,377.83,402.14,402.14,"15,126,077,675"
2020-11-05,402.14,417.53,397.25,414.07,414.07,"15,440,711,038"
2020-11-06,414.07,456.20,412.98,454.72,454.72,"16,738,305,610"
2020-11-07,454.72,465.68,428.46,435.71,435.71,"18,873,289,788"
2020-11-08,435.72,457.78,433.15,453.55,453.55,"11,292,383,601"
2020-11-09,453.57,457.35,435.16,444.16,444.16,"13,704,320,630"
2020-11-10,444.17,453.76,439.60,449.68,449.68,"12,090,381,666"
2020-11-11,449.68,473.58,449.52,462.96,462.96,"14,075,403,511"
2020-11-12,462.96,467.68,452.07,461.01,461.01,"12,877,327,234"
2020-11-13,461.01,475.22,457.30,474.63,474.63,"13,191,505,725"
2020-11-14,474.63,475.16,452.99,460.15,460.15,"10,312,037,942"
2020-11-15,460.15,460.99,440.25,447.56,447.56,"10,308,617,165"
2020-11-16,447.56,463.83,445.50,459.94,459.94,"11,441,239,444"
2020-11-17,464.41,482.23,460.78,480.36,480.36,"14,593,057,877"
2020-11-18,480.35,492.00,465.83,479.48,479.48,"17,880,199,224"
2020-11-19,479.48,480.12,465.70,471.63,471.63,"12,473,929,218"
2020-11-20,471.63,513.61,471.63,509.74,509.74,"18,629,943,296"
2020-11-21,509.74,550.23,504.24,549.49,549.49,"20,757,099,184"
2020-11-22,549.49,579.37,514.52,558.07,558.07,"21,967,049,601"
2020-11-23,558.06,609.99,551.27,608.45,608.45,"27,272,302,872"
2020-11-24,608.52,621.17,593.84,603.90,603.90,"23,281,758,100"
2020-11-25,603.90,605.09,559.67,570.69,570.69,"20,088,492,893"
2020-11-26,570.51,575.64,485.50,518.80,518.80,"31,104,004,592"
